Ordnen Sie zu,Match
Was gehört zusammen?,What goes together?
Guten Morgen!, Good morning!
Guten Tag!, Good day!
Guten Abend!, Good evening!
Gute Nacht!, Good night!
Kannst du bitte vorlesen?, Can you please read aloud?
Wie geht's?, How are you?
Wie geht es dir?, How are you?
Danke, Thanks
Ganz gut,Very well
Auch gut,Also good/fine
Tschüs!,Bye!
Entschuldingung!,Sorry!
Bis bald!,See you soon!
Bis später!,See you later!
Es geht,I'm okay/so-so
Wie hei\ss{}t du?,What is your name?
Wie bist du?,What is your name?
Ich hei\ss{}e None,My name is None
Ich bin None,I am None
Auf Wiedersehen,Goodbye (in person)
Auf Wiederhören,Goodbye (in phone)
Das ist, This is
Das sind, These are
Gru\ss{}e,Greetings
Hallo,Hello
Entschuldigung!,Sorry!
Kannst du das buchstabieren?,Can you spell that?
Ja das stimmt,Yes that's correct
Ist das richting so?,Is that correct like this?
im Internet surfen, Surf the internet
